packages/app/src/components/dialog-connect-provider.tsx(172,30): error TS18046: 'i' is of type 'unknown'.
packages/app/src/components/dialog-connect-provider.tsx(172,38): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(173,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(176,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(179,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(180,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(182,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(182,53): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(183,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(184,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(187,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(188,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(190,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(190,60): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(191,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(192,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(201,48): error TS2304: Cannot find name 'SubmitEvent'.
packages/app/src/components/dialog-connect-provider.tsx(204,51): error TS2304: Cannot find name 'HTMLFormElement'.
packages/app/src/components/dialog-connect-provider.tsx(205,49): error TS2554: Expected 0 arguments, but got 1.
packages/app/src/components/dialog-connect-provider.tsx(225,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
